tour_code,tour_description,year,tournament_id,player_id,course_id,permanent_tour_id,player_first_name,player_last_name,round,tournament_name,course_name,hole,hole_score,par_value,yardage,shot,shot_type,num_of_strokes,from_location_scorer,from_location_enhanced,to_location_laser,to_location_enhanced,distance,distance_to_pin,in_the_hole_flag,around_the_green_flag,first_putt_flag,distance_to_hole_after_shot,time,lie,elevation,slope,x,y,z,dist_from_center,dist_from_edge,date,club
R,PGA TOUR,2015,150,1249,5,5,John,Daly,1,AT&T Pebble Beach National Pro-Am,Pebble Beach GL,1,4,4,381,1,S,1,Tee Box,,Fairway,Left Fairway,8645,13752,N,N,,5285,844,Good,With,Level,"7,123.53","12,491.92",82.407,214,199,2/12/15,driver
R,PGA TOUR,2015,150,1249,5,5,John,Daly,1,AT&T Pebble Beach National Pro-Am,Pebble Beach GL,1,4,4,381,2,S,1,Fairway,Left Fairway,Green,Unmapped,5183,5285,N,N,,153,850,Good,With,Level,"7,555.37","12,486.30",89.034,117,423,2/12/15,8i
R,PGA TOUR,2015,150,1249,5,5,John,Daly,1,AT&T Pebble Beach National Pro-Am,Pebble Beach GL,1,4,4,381,3,S,1,Green,Unmapped,Green,Unmapped,182,153,N,N,Y,25,855,Good,With,Level,"7,565.00","12,474.60",89.181,23,500,2/12/15,putter
R,PGA TOUR,2015,150,1249,5,5,John,Daly,1,AT&T Pebble Beach National Pro-Am,Pebble Beach GL,1,4,4,381,4,S,1,Green,Unmapped,,,25,25,Y,N,,0,856,Good,With,Level,0,0,0,0,0,2/12/15,putter
R,PGA TOUR,2015,150,1249,5,5,John,Daly,1,AT&T Pebble Beach National Pro-Am,Pebble Beach GL,2,4,5,502,1,S,1,Tee Box,,Primary Rough,Left Rough,10768,18468,N,N,,7844,900,Good,With,Level,"8,160.77","12,322.87",74.824,1149,480,2/12/15,driver
R,PGA TOUR,2015,150,1249,5,5,John,Daly,1,AT&T Pebble Beach National Pro-Am,Pebble Beach GL,2,4,5,502,2,S,1,Primary Rough,Left Rough,Green Side Bunker,Right Front Green Side Bunker,7249,7844,N,Y,,696,909,N/A,With,Level,"8,719.82","12,094.09",74.595,217,150,2/12/15,3h
R,PGA TOUR,2015,150,1249,5,5,John,Daly,1,AT&T Pebble Beach National Pro-Am,Pebble Beach GL,2,4,5,502,3,S,1,Green Side Bunker,Right Front Green Side Bunker,Green,Unmapped,790,696,N,N,,92,915,Good,With,Level,"8,784.08","12,107.37",79.481,48,497,2/12/15,lw
R,PGA TOUR,2015,150,1249,5,5,John,Daly,1,AT&T Pebble Beach National Pro-Am,Pebble Beach GL,2,4,5,502,4,S,1,Green,Unmapped,,,92,92,Y,N,Y,0,917,Good,With,Level,0,0,0,0,0,2/12/15,putter
R,PGA TOUR,2015,150,1249,5,5,John,Daly,1,AT&T Pebble Beach National Pro-Am,Pebble Beach GL,3,4,4,390,1,S,1,Tee Box,,Unknown,Unmapped,10973,14292,N,N,,2964,921,Good,With,Level,"8,256.40","11,430.30",33.806,1620,1069,2/12/15,driver
R,PGA TOUR,2015,150,1249,5,5,John,Daly,1,AT&T Pebble Beach National Pro-Am,Pebble Beach GL,3,4,4,390,2,S,1,Primary Rough,Unmapped,Green,Unmapped,2701,2964,N,N,,287,933,N/A,With,Level,"8,046.84","11,348.24",36.849,55,237,2/12/15,gw
